# Audiofrog official car-audio target curve (Andy Wehmeyer, 2024 revision)
# Source: audiofrog.com target curve download (OSM hi-res version), fetched 2026-08-30
# 8191 points, 2.93-23997 Hz linear grid, dB values not normalized
3292.97,-3.03295
3295.9,-3.03508
3298.83,-3.03721
3301.76,-3.03933
3304.69,-3.04146
3307.62,-3.04357
3310.55,-3.04569
3313.48,-3.04781
3316.41,-3.04992
3319.34,-3.05203
3322.27,-3.05414
3325.2,-3.05625
3328.13,-3.05835
3331.05,-3.06046
3333.98,-3.06256
3336.91,-3.06466
3339.84,-3.06675
3342.77,-3.06885
3345.7,-3.07094
3348.63,-3.07303
3351.56,-3.07512
3354.49,-3.0772
3357.42,-3.07928
3360.35,-3.08137
3363.28,-3.08345
3366.21,-3.08552
3369.14,-3.0876
3372.07,-3.08967
3375,-3.09174
3377.93,-3.09381
3380.86,-3.09587
3383.79,-3.09794
3386.72,-3.1
3389.65,-3.10206
3392.58,-3.10412
3395.51,-3.10617
3398.44,-3.10823
3401.37,-3.11028
3404.3,-3.11233
3407.23,-3.11437
3410.16,-3.11642
3413.09,-3.11846
3416.02,-3.1205
3418.95,-3.12254
3421.88,-3.12458
3424.8,-3.12661
3427.73,-3.12864
3430.66,-3.13067
3433.59,-3.1327
3436.52,-3.13473
3439.45,-3.13675
3442.38,-3.13877
3445.31,-3.14079
3448.24,-3.14281
3451.17,-3.14483
3454.1,-3.14684
3457.03,-3.14885
3459.96,-3.15086
3462.89,-3.15287
3465.82,-3.15487
3468.75,-3.15688
3471.68,-3.15888
3474.61,-3.16088
3477.54,-3.16288
3480.47,-3.16487
3483.4,-3.16686
3486.33,-3.16885
3489.26,-3.17084
3492.19,-3.17283
3495.12,-3.17481
3498.05,-3.1768
3500.98,-3.17878
3503.91,-3.18076
3506.84,-3.18273
3509.77,-3.18471
3512.7,-3.18668
3515.63,-3.18865
3518.55,-3.19062
3521.48,-3.19259
3524.41,-3.19455
3527.34,-3.19651
3530.27,-3.19848
3533.2,-3.20043
3536.13,-3.20239
3539.06,-3.20435
3541.99,-3.2063
3544.92,-3.20825
3547.85,-3.2102
3550.78,-3.21214
3553.71,-3.21409
3556.64,-3.21603
3559.57,-3.21798
3562.5,-3.21991
3565.43,-3.22185
3568.36,-3.22378
3571.29,-3.22572
3574.22,-3.22765
3577.15,-3.22958
